ID,Year of Birth,Education Level,Marital Status,Annual Salary,Children at Home,Teenagers at Home,Registration Date,Days Since Last Purchase,Spending on Electronics,Spending on Toys,Spending on Furniture,Spending on Utilities,Spending on Food,Spending on Clothing,Number of Discount Purchases,Number of Web Purchases,Number of Catalog Purchases,Number of Store Purchases,Number of Website Visits per Month,Purchase in Campaign 1,Purchase in Campaign 2,Purchase in Campaign 3,Purchase in Campaign 4,Purchase in Campaign 5,Purchased,Country
2795,1958,Master's,Single,30523.0,2,1,07/01/2020,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,Chile
2285,1954,Master's,Married,36634.0,0,1,05/12/2023,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,Spain
115,1966,Master's,Single,43456.0,0,1,03/02/2023,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,Argentina
10470,1979,Master's,Single,40662.0,1,0,03/05/2023,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,Germany
4065,1976,Doctorate,Single,49544.0,1,0,02/11/2020,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,United States
10968,1969,,Single,57731.0,0,1,11/04/2022,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,Argentina
5985,1965,Master's,Single,33168.0,0,1,10/12/2022,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,United States
5430,1956,,Married,54450.0,1,1,09/04/2022,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,United States
8432,1956,,Married,54450.0,1,1,09/04/2022,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,United States
453,1956,Doctorate,Divorced,35340.0,1,1,6/07/2021,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,United States
1826,1970,,Divorced,84835.0,0,0,6/03/2021,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,United States
1,1961,,Single,57091.0,0,0,6/03/2021,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,Chile
10476,1958,,Single,67267.0,0,1,5/07/2021,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,
1386,1967,,Married,32474.0,1,1,05/11/2018,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,Brazil
5371,1989,,Single,21474.0,1,0,04/08/2018,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,United States
7348,1958,Doctorate,Single,71691.0,0,0,3/02/2021,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,United States
4073,1954,,Single,63564.0,0,0,1/07/2021,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,Germany
1991,1967,,Married,44931.0,0,1,1/04/2021,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,United States
4047,1954,Doctorate,Single,65324.0,0,1,01/11/2018,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,
9477,1954,Doctorate,Single,65324.0,0,1,01/11/2018,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,Argentina
2079,1947,,Single,81044.0,0,0,12/03/2023,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,
5642,1979,Master's,Married,62499.0,1,0,12/09/2020,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,United States
10530,1959,Doctorate,Divorced,67786.0,0,0,12/07/2020,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,Argentina
2964,1981,,Single,26872.0,0,0,10/01/2023,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,Chile
10311,1969,,Single,4428.0,0,1,10/05/2020,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,United States
837,1977,,Single,54809.0,1,1,09/11/2020,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,United States
10521,1977,,Single,54809.0,1,1,09/11/2020,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,United States
10175,1958,Doctorate,Divorced,32173.0,0,1,08/01/2020,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,United States
1473,1960,,Single,47823.0,0,1,7/04/2023,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,Chile
9687,1975,,Single,73170.0,0,0,5/08/2021,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,Chile
8890,1971,Doctorate,Divorced,65808.0,1,1,5/02/2021,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,United States
9264,1986,,Single,79529.0,0,0,4/03/2021,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,Chile
5824,1972,Doctorate,Married,34578.0,2,1,04/11/2018,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,Brazil
5794,1974,Doctorate,Single,46374.0,0,1,3/02/2021,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,Argentina
3068,1990,,Single,18351.0,0,0,10/07/2023,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,United States
7962,1987,Doctorate,Single,95169.0,0,0,10/09/2020,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,United States
2681,1984,,Single,65370.0,0,0,08/01/2020,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,United States
10141,1960,Master's,Divorced,39228.0,0,0,05/10/2020,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,Spain
3725,1961,Doctorate,Single,84865.0,0,0,05/09/2020,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,United States
3767,1968,,Single,61314.0,0,1,4/04/2023,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,United States
5585,1972,,Single,21359.0,1,0,04/05/2022,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,Chile
7030,1955,Doctorate,Single,66465.0,0,1,3/02/2023,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,United States
1524,1983,,Single,81698.0,0,0,03/01/2020,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,United States
3657,1986,,Single,39146.0,1,0,2/02/2023,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,United States
5740,1970,,Divorced,25959.0,1,1,2/02/2023,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,United States
9595,1961,,Married,64260.0,0,0,01/11/2020,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,United States
3158,1973,,Single,32300.0,1,0,01/03/2020,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,United States
5114,1965,Master's,Single,74806.0,0,1,12/04/2022,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,Brazil
340,1970,,Divorced,72967.0,0,1,12/03/2022,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,Germany
8805,1960,,Single,48904.0,0,1,12/02/2019,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,
1241,1984,,Single,14796.0,1,0,9/02/2022,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,Germany
1402,1954,Master's,Single,66991.0,0,0,09/11/2019,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,Germany
